fvs_spcd,fvs_ecounit,fvspy_ecounit,ecounit_b0,ecounit_b1,ecounit_b2,ecounit_b3,ecounit_b4,ecounit_b5,ecounit_b6,ecounit_b7,ecounit_b8,ecounit_b9,ecounit_b10,ecounit_b11
FR,M221,1,0.000000,0.000000,0.000000,-0.121082,0.000000,0.022498,-0.097721,0.000000,0.000000,0.000000,0.000000
JU,231T,10,0.131771,0.217904,0.436986,0.083896,-0.005539,0.000000,0.490740,0.399497,0.938548,1.088152,0.000000
PI,M221,1,0.000000,0.000000,0.000000,-0.121082,0.000000,0.022498,0.097721,0.000000,0.000000,0.000000,0.000000
PU,232,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
SP,231L,11,-0.569409,-0.252741,-0.265699,-0.694484,-0.285112,-0.504565,0.000000,-0.113258,0.114097,0.092458,0.000000
SA,232,6,0.000000,0.000000,0.000000,0.000000,0.000000,-0.025549,0.324111,0.000000,0.306793,0.000000,-0.342293
SR,232,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.155764,0.000000,-0.112223,0.000000,0.000000
LL,232,6,0.000000,0.000000,0.000000,0.000000,0.000000,-0.175073,-0.067793,0.000000,0.123262,0.000000,0.000000
TM,231T,10,-0.157516,0.000000,0.000000,-0.107642,-0.034553,0.000000,0.025073,-0.150946,0.000000,0.000000,0.000000
PP,M221,1,0.000000,0.000000,0.000000,0.020105,-0.297952,0.236656,0.000000,0.000000,0.000000,0.000000,0.000000
PD,232,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.205608
WP,M221,1,0.000000,0.000000,0.000000,-0.065630,-0.450665,0.102041,0.000000,0.000000,0.000000,0.000000,0.000000
LP,232,6,-0.069716,0.581967,0.790149,-0.584818,-0.364073,-0.183317,0.256273,0.000000,0.281790,0.274618,0.000000
VP,231T,10,-0.157516,0.000000,0.000000,-0.107642,-0.034553,0.000000,0.025073,-0.150946,0.000000,0.000000,0.000000
BY,232,6,0.000000,0.000000,0.000000,0.000000,0.230225,0.457755,0.154525,0.000000,0.021935,0.288209,-0.033047
PC,232,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.156623
HM,M221,1,0.000000,0.000000,0.000000,-0.121082,0.000000,0.022498,-0.097721,0.000000,0.000000,0.000000,0.000000
FM,231T,10,0.000000,0.044974,-0.121719,0.000000,0.289979,0.000000,0.416909,0.163106,0.451765,0.000000,0.000000
BE,234,7,-0.202911,-0.354429,0.371150,-0.282925,-0.250799,-0.351211,-0.156560,-0.233523,0.000000,-0.011673,0.000000
RM,232,6,-0.010003,-0.157820,-0.046780,0.171661,0.170429,-0.031739,0.111637,0.000000,0.283893,0.000000,-0.340066
SV,232,6,-0.010003,-0.157820,-0.046780,0.171661,0.170429,-0.031739,0.111637,0.000000,0.283893,0.000000,-0.340066
SM,222,5,-0.074887,-0.216260,0.000000,0.064792,0.000000,-0.207182,-0.145892,0.707850,0.289780,0.000000,0.000000
BU,M221,1,0.000000,0.000000,0.000000,0.168179,0.024888,0.029753,0.000000,0.000000,0.000000,0.000000,0.000000
BB,M221,1,0.000000,0.379877,-0.528365,0.306760,0.167634,0.178981,0.365419,0.236959,0.417591,1.151813,0.000000
SB,M221,1,0.000000,0.379877,-0.528365,0.306760,0.167634,0.178981,0.365419,0.236959,0.417591,1.151813,0.000000
AH,232,6,-0.260665,-0.170424,-0.314804,-0.114680,0.043550,-0.090864,0.087924,0.000000,0.215406,0.000000,0.000000
HI,231T,10,0.034070,-0.221662,-0.172720,0.042510,-0.012725,0.000000,0.116846,0.113816,0.183886,0.441744,0.000000
CA,234,7,0.000000,0.000000,0.000000,0.000000,-0.010636,-0.380297,-0.091346,-0.145951,0.000000,-0.227224,0.000000
HB,234,7,-0.435211,-0.117993,-0.495339,-0.347813,-0.336521,-0.325780,-0.130359,-0.212093,0.000000,-0.208957,0.000000
RD,231T,10,0.147356,0.184427,-0.070292,0.281057,0.322736,0.000000,0.452072,0.552309,0.255957,0.576422,0.000000
DW,231T,10,0.101205,0.352912,0.166296,0.233779,0.104553,0.000000,0.359721,0.093627,0.488202,0.000000,0.000000
PS,232,6,0.111933,-0.023333,0.289483,0.480859,0.215139,-0.049742,0.249350,0.000000,0.363787,0.317870,0.000000
AB,232,6,-0.191377,-0.370162,-0.181571,-0.105676,0.093229,0.006941,-0.003611,0.000000,-0.031277,0.000000,0.000000
AS,232,6,0.424837,0.000000,0.000000,-0.181787,0.000000,0.073246,0.000000,0.000000,0.000000,0.000000,-0.795646
WA,222,5,-0.082465,-0.149061,-0.241677,-0.146698,0.000000,-0.208643,-0.015617,-0.004213,0.151449,-0.056292,0.000000
BA,234,7,0.146900,-0.443396,-0.448423,-0.133024,-0.079056,-0.119819,-0.116966,-0.075746,0.000000,-0.003469,0.000000
GA,234,7,0.146900,-0.443396,-0.448423,-0.133024,-0.079056,-0.119819,-0.116966,-0.075746,0.000000,-0.003469,0.000000
HL,234,7,-0.256637,-0.149473,0.047390,-0.341690,-0.215198,-0.396963,0.095929,-0.078848,0.000000,0.115297,0.000000
LB,232,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
HA,M221,1,0.000000,0.000000,0.000000,0.000000,0.000000,-0.211742,0.000000,0.000000,0.000000,0.000000,0.000000
HY,232,6,-0.126229,0.000000,0.000000,-0.278119,-0.179796,0.019636,0.163182,0.000000,-0.283774,0.941544,0.000000
BN,222,5,-0.071073,0.374367,-0.058790,-0.072556,0.000000,-0.015672,0.349608,0.255119,0.259162,0.352483,0.000000
WN,222,5,-0.071073,0.374367,-0.058790,-0.072556,0.000000,-0.015672,0.349608,0.255119,0.259162,0.352483,0.000000
SU,232,6,0.214847,-0.027123,-0.098745,0.311384,0.203471,-0.034773,0.115389,0.000000,0.129382,0.492438,0.000000
YP,231T,10,-0.035012,0.000000,0.000000,0.114831,0.255257,0.000000,0.095383,0.113058,0.111540,0.000000,0.000000
MG,232,6,-1.721210,0.000000,0.000000,-0.438669,0.000000,-0.316872,0.014928,0.000000,0.161649,0.000000,0.000000
CT,M221,1,0.000000,-0.333954,0.000000,0.326227,-0.158005,-0.089037,0.587498,0.575938,0.572974,0.000000,0.000000
MS,232,6,-0.184013,-0.708021,0.000000,-0.947356,0.000000,-0.256347,-0.181586,-0.000000,0.493509,0.000000,0.000000
MV,232,6,-1.721210,0.000000,0.000000,-0.438669,0.000000,-0.316872,0.014928,0.000000,0.161649,0.000000,0.000000
ML,232,6,-0.184013,-0.708021,0.000000,-0.947356,0.000000,-0.256347,-0.181586,-0.000000,0.493509,0.000000,0.000000
AP,231L,11,0.352576,0.128982,0.243569,0.269060,0.000219,-0.253490,0.000000,-0.119399,0.032415,0.498573,0.000000
MB,231L,11,0.352576,0.128982,0.243569,0.269060,0.000219,-0.253490,0.000000,-0.119399,0.032415,0.498573,0.000000
WT,232,6,0.000000,0.000000,0.000000,0.000000,0.186240,-1.048379,0.000000,0.000000,-0.054588,0.000000,0.000000
BG,232,6,-0.014903,-0.266804,-0.251634,-0.000477,0.058798,-0.116789,0.138867,0.000000,-0.031436,0.375820,0.000000
TS,232,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.018150,0.688179,0.000000,0.202859,0.000000,0.000000
HH,232,6,-0.041534,0.130420,0.212883,0.110701,-0.130543,-0.025850,0.087497,0.000000,0.018385,0.255056,0.000000
SD,231T,10,0.012432,0.000000,0.000000,0.160384,0.079502,0.000000,0.295282,0.057285,0.424776,0.000000,0.000000
RA,232,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.712083,0.000000,0.489307,0.000000,-0.147600
SY,234,7,-0.308437,-0.468897,-0.573635,-0.163987,-0.291934,-0.312825,-0.204430,-0.167438,0.000000,0.122950,0.000000
CW,234,7,0.000000,0.000000,0.000000,0.000000,-0.010636,-0.380297,-0.091346,-0.145951,0.000000,-0.227224,0.000000
BT,234,7,0.000000,0.000000,0.000000,0.000000,-0.010636,-0.380297,-0.091346,-0.145951,0.000000,-0.227224,0.000000
BC,231T,10,0.290593,0.163528,-0.111387,0.060201,0.089278,0.000000,0.239920,0.125890,0.264833,1.901340,0.000000
WO,231T,10,-0.191164,-0.155148,-0.154994,-0.063321,-0.031876,0.000000,0.164710,0.031862,0.089972,0.448682,0.000000
SO,231T,10,-0.258781,0.000000,0.000000,-0.063421,-0.023554,0.000000,0.067643,0.087098,0.000000,0.000000,0.000000
SK,231L,11,-0.294531,-0.267829,-0.113549,-0.146202,-0.078697,-0.142921,0.000000,-0.137069,0.044499,0.189435,0.000000
CB,231L,11,-0.303022,-0.568197,-0.001804,-0.301395,-0.106435,-0.139157,0.000000,0.000058,-0.035715,-0.198361,0.000000
TO,232,6,0.000000,0.000000,0.000000,0.000000,0.000000,-0.141504,0.987526,0.000000,1.109686,1.446041,0.000000
LK,232,6,0.000000,0.000000,0.000000,0.000000,0.000000,-0.184740,0.183278,0.000000,0.238162,0.768121,-1.328540
OV,234,7,0.000000,0.000000,-0.506825,0.000000,0.074902,-0.083491,0.045341,0.062981,0.000000,-0.065887,0.000000
BJ,232,6,-0.172582,0.107373,-0.084775,0.127193,-0.066699,-0.052485,0.178459,0.000000,-0.037201,0.380348,-0.741911
SN,232,6,-0.252410,0.000000,-0.278470,-0.201638,0.222377,-0.053375,0.006612,0.000000,0.007600,0.000000,0.0000000
CK,222,5,-0.039862,-0.110433,-0.170239,0.024645,0.000000,0.126865,-0.010615,0.755389,0.471921,0.606309,0.000000
WK,232,6,0.197053,0.108061,-0.061415,-0.343207,-0.056293,-0.113493,0.076125,0.000000,0.122936,0.249718,-0.261750
CO,M221,1,0.000000,0.000000,0.000000,0.151380,0.200026,0.204279,0.295079,0.085617,0.080911,0.585065,0.000000
RO,M221,1,0.000000,0.023769,0.058308,0.043448,0.036206,0.132129,0.163239,0.205401,0.433254,0.000000,0.000000
QS,231L,11,-0.854641,-0.590369,-0.160338,-0.190715,-0.329148,-0.237106,0.000000,-0.089086,-0.190850,-0.036830,0.000000
PO,231L,11,-0.042633,-0.252560,-0.243734,-0.162999,-0.160463,-0.048463,0.000000,-0.081158,0.159575,0.171401,0.000000
BO,222,5,-0.122266,-0.144853,-0.163130,0.021869,0.000000,-0.048649,0.151382,0.084829,0.369759,-0.051983,0.000000
LO,232,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.268416,0.000000,-0.639461
BK,M221,1,0.000000,-0.174431,0.170467,0.016664,0.035772,0.047888,0.371885,0.171124,0.240479,0.444606,0.000000
WI,234,7,-0.316154,0.000000,0.000000,-0.360580,0.031358,0.151013,-0.120265,-0.059706,0.000000,-0.203095,0.000000
SS,222,5,-0.109616,0.068664,-0.981901,-0.066394,0.000000,-0.153195,0.075592,-0.040417,0.333962,0.393517,0.000000
BD,M221,1,0.000000,0.022312,0.378775,0.195305,0.106462,-0.145798,-0.155027,-0.071987,0.920288,0.644926,0.000000
EL,231T,10,0.340206,-0.330585,0.261703,0.431384,-0.107188,0.000000,0.045265,0.036098,-0.318940,0.270984,0.000000
WE,231L,11,0.117770,-0.235842,-0.435920,-0.036156,-0.229106,0.125704,0.000000,0.070072,-0.022479,0.235360,0.000000
AE,234,7,-0.312702,-0.097041,-0.361568,-0.127373,-0.293653,-0.413743,-0.127535,-0.043112,0.000000,0.119860,0.000000
RL,231L,11,-0.167102,-0.292978,0.084842,-0.229308,-0.287173,-0.014656,0.000000,-0.029868,0.210046,-0.360256,0.000000
OS,231T,10,0.131771,0.217904,0.436986,0.083896,-0.005539,0.000000,0.490740,0.399497,0.938548,1.088152,0.000000
OH,232,6,-0.041534,0.130420,0.212883,0.110701,-0.130543,-0.025850,0.087497,0.000000,0.018385,0.255056,0.000000
OT,None,None,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000