species_code,large_tree_b0,large_tree_b1,large_tree_b2,large_tree_b3,large_tree_b4,large_tree_b5,large_tree_b6,large_tree_b7,large_tree_b8,large_tree_b9,large_tree_b10
AB,-1.251887,1.349337,-0.000447,0.193148,0.279322,-0.000287,-0.002547,-0.001176,-0.3804,0.160386,-0.088382
AE,-0.510736,1.164789,1e-07,0.127893,0.516517,0.00045,-0.003114,-0.001524,-0.446461,0.228712,0.069806
AH,-1.281144,1.335625,1e-06,0.111128,0.003444,0.005347,-0.003852,-0.000644,-0.224489,0.031993,-0.160702
AP,-1.746231,1.234133,-1.7e-05,0.285511,0.180572,0.002596,-0.001709,-9.9e-05,-0.872861,-0.078948,-0.023609
AS,-2.954457,1.461691,1e-07,0.377819,0.185353,0.007104,-0.002027,-0.000779,-0.619659,0.020132,-0.020785
BA,-0.897707,1.243091,1e-07,0.090158,0.496594,-0.000465,-1e-06,-0.00145,-0.158064,-0.138225,-0.081197
BB,-1.092055,1.024946,-0.000653,0.20677,0.489441,0.002354,-0.002005,-0.001848,-0.192793,-0.112449,0.113349
BC,-2.610023,1.22031,-0.000234,0.520739,0.181418,0.003897,-0.002494,-0.001904,-0.071719,-0.028196,-0.180664
BD,-1.848106,1.424209,-0.001488,0.289244,0.253525,0.003499,-0.001236,-0.002875,-0.580068,0.235707,-0.055862
BE,-0.871047,1.217898,-0.000105,0.240101,0.071213,-2.2e-05,-0.001242,-0.000826,-0.613177,0.315909,-0.237088
BG,-1.508549,1.306362,-0.000576,0.112403,0.121169,0.003356,-0.002482,-0.001013,-0.296628,-0.131968,-0.031596
BJ,-1.948938,1.611438,-0.000844,0.135696,0.056739,0.00274,-0.003558,-0.001825,-0.071837,-0.147407,0.241882
BK,-1.307911,0.963269,1e-07,0.268621,0.396699,0.003713,-0.001858,-0.001674,-0.335364,-0.084806,0.127896
BN,-2.35419,1.050171,-0.000154,0.425328,0.616257,0.001348,-0.000564,-0.000588,0.133415,-0.209729,0.014948
BO,-2.345845,1.45033,-0.000674,0.251441,0.527504,0.005921,-0.002235,-0.000862,-0.307814,-0.033568,0.054762
BT,-1.06898,1.164191,1e-07,0.084279,0.501307,0.0097,-0.001041,-0.001349,0.075733,-0.601088,-0.757088
BU,-1.876225,1.197048,-0.000778,0.183857,0.547747,0.010254,-0.004219,-0.000586,-0.178079,0.187157,-0.108544
BY,-1.73569,1.505649,-5.4e-05,0.132441,-0.119572,0.003996,-0.000502,-0.000768,-0.560585,-0.42814,-0.739509
CA,-1.06898,1.164191,1e-07,0.084279,0.501307,0.0097,-0.001041,-0.001349,0.075733,-0.601088,-0.757088
CB,-0.295485,1.239946,-0.000163,0.020622,0.431515,0.00383,-0.002257,-0.001826,-0.105862,0.191286,-0.324254
CK,-2.223515,0.937359,0.000212,0.286311,0.733279,0.008621,-0.000299,-0.001711,-0.065269,-0.008808,0.471906
CO,-2.900655,1.34735,-0.000533,0.300133,0.597032,0.008415,-0.001112,-0.001536,-0.133852,-0.05605,0.003947
CT,-1.239592,1.06336,-9.2e-05,0.243097,0.533202,-0.003084,0.00068,-0.001643,-0.308453,-0.071496,0.265688
CW,-1.06898,1.164191,1e-07,0.084279,0.501307,0.0097,-0.001041,-0.001349,0.075733,-0.601088,-0.757088
DW,-2.540719,1.293125,-0.000856,0.368481,-0.611245,0.004257,-0.003144,-0.001235,-0.282662,-0.084011,0.104748
EL,-2.356235,1.479429,-0.000517,0.425367,-0.083383,0.002767,-0.003132,-0.001352,-1.000956,-0.064524,-0.146557
FM,-1.685778,1.454506,-0.000818,0.242436,-0.140837,0.00436,-0.003268,-0.001923,-0.339807,-0.204878,-0.14711
FR,-2.267851,1.442529,-0.000548,0.568468,-0.403762,-0.001151,-0.000824,-0.002503,-0.241408,0.066508,0.086959
GA,-0.897707,1.243091,1e-07,0.090158,0.496594,-0.000465,-1e-06,-0.00145,-0.158064,-0.138225,-0.081197
HA,-2.352258,1.746852,1e-07,0.291502,-1.771604,0.003582,1e-06,-0.00077,0.335703,-0.657751,0.585839
HB,-0.833167,1.190567,1e-07,0.193368,0.508738,-5.6e-05,-0.001846,-0.001776,-0.179044,0.039673,-0.071628
HH,-1.431973,1.452294,-0.001475,0.061077,-0.208915,0.004856,-0.003145,1e-06,-0.422675,-0.236535,0.201149
HI,-2.728289,1.548449,-0.000761,0.203837,0.570012,0.004399,-0.003339,-0.001029,-0.245761,0.055798,0.080648
HL,-0.314922,0.927191,-1e-07,0.103234,0.538379,0.003038,-0.001181,-0.002489,-0.107755,0.958763,0.823135
HM,-2.267851,1.442529,-0.000548,0.568468,-0.403762,-0.001151,-0.000824,-0.002503,-0.241407,0.066508,0.086959
HY,-1.981934,1.456263,-0.002061,0.215249,-0.414064,0.00424,-0.003096,-0.000394,-0.303627,0.210525,-0.159362
JU,-1.864431,1.403065,-0.001237,0.273616,0.177408,-0.000374,-0.00362,-0.00189,-0.231988,0.077542,-0.025792
LB,-2.514589,1.459672,-0.001317,0.654209,0.106808,-0.003582,-0.000311,-0.002192,-3.469125,-10.149549,1.404412
LK,-1.561284,1.335456,-0.000412,0.246163,0.381808,0.004714,-0.001526,-0.002253,-0.704548,0.421803,0.296509
LL,-1.331052,1.098112,-0.001834,0.184512,0.388018,0.008774,-0.002182,-0.002898,0.225213,0.086883,0.107445
LO,-3.64066,1.448503,-0.00021,0.549199,0.073672,0.009377,-0.003217,-0.000779,-0.099727,-0.1742,-0.102828
LP,0.222214,1.16304,-0.000863,0.028483,0.006935,0.005018,-0.003408,-0.004184,-0.759347,0.18536,-0.072842
MB,-1.746231,1.234133,-1.7e-05,0.285511,0.180572,0.002596,-0.001709,-9.9e-05,-0.872861,-0.078948,-0.023609
MG,-2.516823,1.454173,-0.000925,0.252335,0.243666,0.007223,-0.001259,-0.001111,-0.025555,0.149606,0.032438
ML,-1.477929,1.126474,-0.000267,0.134257,0.539,0.005884,-0.00274,-0.000886,0.405735,-0.063579,0.017095
MS,-1.477929,1.126474,-0.000267,0.134257,0.539,0.005884,-0.00274,-0.000886,0.405735,-0.063579,0.017095
MV,-2.516823,1.454173,-0.000925,0.252335,0.243666,0.007223,-0.001259,-0.001111,-0.025555,0.149606,0.032438
OH,-1.431973,1.452294,-0.001475,0.061077,-0.208915,0.004856,-0.003145,1e-06,-0.422675,-0.236535,0.201149
OS,-1.864431,1.403065,-0.001237,0.273616,0.177408,-0.000374,-0.00362,-0.00189,-0.231988,0.077542,-0.025792
OT,-1645961.0,1.447657,-0.002158,0.241038,0.719652,-0.00325,1e-06,-0.002468,-1.080004,0.112883,0.158354
OV,-0.947174,1.37635,-0.000482,0.099697,0.427943,0.00128,-0.001416,-0.002636,-0.666854,-0.977891,-0.311322
PC,-4.224977,1.831739,-0.000595,0.446234,-0.125847,0.005975,-0.000191,-0.0006,2.356739,-8.639114,5.615465
PD,-2.353114,1.425614,-0.001694,0.455833,-0.198222,0.007876,-0.003001,-0.00451,0.685018,-2.907934,1.683401
PI,-2.267851,1.442529,-0.000548,0.568468,-0.403762,-0.001151,-0.000824,-0.002503,-0.241408,0.066508,0.086959
PO,-1.430321,1.293728,-0.000452,0.047937,0.514612,0.005466,-0.003306,-0.001375,-0.408878,0.009165,0.054469
PP,-3.639059,1.397394,-0.00167,0.739443,-0.193198,0.008731,-0.002257,-0.002188,-0.317178,0.083538,0.150686
PS,-2.524455,1.479865,-0.001512,0.289171,0.243575,0.003369,-0.001319,-0.002784,-0.327799,-0.200696,-0.145939
PU,-3.791466,1.796179,-0.005109,0.902185,1e-06,-0.002009,-0.005287,-0.003203,0.501409,-1.788107,-1.231519
QS,-0.328678,1.282494,-0.000351,0.071625,0.4556,-0.001173,-0.000482,-0.002125,-0.692617,0.176391,0.069174
RA,-2.096616,1.254708,1e-07,0.344067,0.176829,0.002656,-0.002625,-0.000811,-1.762191,1.202555,0.383865
RD,-1.062539,1.17405,1e-07,0.239942,0.411945,-0.005893,-0.001141,-0.002822,-0.391784,0.039121,-0.03835
RL,-0.229212,1.060275,1e-07,0.116801,0.430393,-0.001806,-0.00133,-0.002098,0.158824,-0.216082,0.037837
RM,-2.260482,1.449834,-0.000931,0.361311,0.282436,0.003444,-0.002133,-0.001383,-0.097604,-0.069753,0.094162
RO,-2.732646,1.49945,-0.000729,0.344764,0.466082,0.004632,-0.000908,-0.001131,-0.174932,-0.042528,0.110336
SA,-1.641698,1.461093,-0.00253,0.265872,0.069104,0.006851,-0.002939,-0.004873,-0.018479,-0.193157,-0.251016
SB,-1.092055,1.024946,-0.000653,0.20677,0.489441,0.002354,-0.002005,-0.001848,-0.192793,-0.112449,0.113349
SD,-3.18004,1.35579,-0.000784,0.532236,0.077021,0.00517,-0.002389,-0.000797,-0.29268,0.050523,-0.008687
SK,-0.783581,1.432483,-0.000412,0.04446,0.241383,0.003012,-0.003263,-0.001913,-0.312121,0.051221,0.109366
SM,-2.313444,1.350084,-0.000816,0.394806,0.631803,-0.000542,-0.001413,-0.001527,-0.032482,-0.009543,0.005581
SN,-1.321662,1.640507,-0.000285,0.038193,0.086499,0.005844,-0.004171,-0.001962,-1.251051,-0.342161,0.077775
SO,-2.284302,1.569893,-0.000632,0.272422,0.206868,0.005065,-0.001157,-0.001315,-0.204324,-0.004871,0.048758
SP,-0.008942,1.23817,-0.00117,0.053076,0.040334,0.004723,-0.004394,-0.003271,-0.704687,0.127667,0.028391
SR,-2.431165,1.691731,-0.000945,0.588558,-0.326169,0.000109,-0.001847,-0.001394,-0.324278,0.526867,0.009866
SS,-1.745126,1.31334,-0.000179,0.201048,0.542693,0.004206,-0.002593,-0.000345,-0.01334,-0.021681,-0.069965
SU,-1.324147,1.395884,-0.00049,0.145539,0.256765,0.001993,-0.002978,-0.00194,-0.502977,0.141477,0.003549
SV,-2.260482,1.449834,-0.000931,0.361311,0.282436,0.003444,-0.002133,-0.001383,-0.097604,-0.069753,0.094162
SY,-1.012995,1.272885,-0.000238,0.23453,0.23453,0.000406,-0.000252,-0.001608,-0.092471,0.494599,-0.367667
TM,-2.600803,1.525435,-0.003519,0.615731,0.059646,0.001033,-0.002304,-0.002716,-0.217771,0.018819,-0.052142
TO,-2.69713,1.622081,-0.001703,0.354924,-0.033854,0.000682,-0.002773,-0.002901,-1.084846,-0.196932,0.51463
TS,-2.55572,1.303035,1e-07,0.319301,-0.109064,0.006498,-0.001087,-0.001185,-0.130105,-0.053688,0.149549
VP,-2.600803,1.525435,-0.003519,0.615731,0.059646,0.001033,-0.002304,-0.002716,-0.217771,0.018819,-0.052142
WA,-1.315283,1.216264,-8e-05,0.087907,0.487191,0.003424,-0.000807,-0.001262,0.018297,-0.001091,-0.021565
WE,-0.790138,0.949707,1e-07,0.100266,0.348136,0.00436,-0.002975,-0.00103,-0.439374,0.272172,0.248287
WI,-1.109398,1.187096,1e-07,0.202056,0.093966,0.006303,1e-06,-0.001075,-0.135482,-0.083002,0.059529
WK,-0.845477,1.488444,-0.000286,0.053292,0.130856,0.00533,-0.003479,-0.001641,-0.151128,0.073469,-0.165679
WN,-2.35419,1.050171,-0.000154,0.425328,0.616257,0.001348,-0.000564,-0.000588,0.133415,-0.209729,0.014948
WO,-1.608339,1.468589,-0.000778,0.139456,0.358369,0.00453,-0.002807,-0.002269,-0.223273,0.008526,-0.032889
WP,-3.497764,1.339503,-0.000961,0.75906,0.605201,0.004214,-0.000865,-0.004065,-0.372738,-0.085193,-0.035582
WT,-2.721782,1.599221,-0.000162,0.351271,0.133939,0.001783,-0.00037,-0.000262,-0.023349,2.073647,-2.213173
YP,-2.513351,1.495351,-0.000756,0.530123,0.161718,0.000746,-0.001839,-0.002217,-0.321777,-0.001645,0.064815
